PARTNER (Labels),Belgium,Bulgaria,Czechia,Denmark,Germany (until 1990 former territory of the FRG),Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,Iceland,Liechtenstein,Norway,Switzerland,United Kingdom,Montenegro,North Macedonia,Albania,Serbia,Turkey,Andorra,Belarus,Bosnia and Herzegovina,Gibraltar (UK),Kosovo (under United Nations Security Council Resolution 1244/99),Moldova,Russia,Ukraine,Other countries of former Soviet Union (before 1991),Other European countries (aggregate changing according to the context),Angola,Cameroon,Congo,Democratic Republic of the Congo,Equatorial Guinea,Gabon,São Tomé and Príncipe,Djibouti,Eritrea,Ethiopia,Kenya,Madagascar,Mauritius,Mozambique,Uganda,Tanzania,Algeria,Egypt,Libya,Morocco,South Sudan,Sudan,Tunisia,Namibia,South Africa,Benin,Cabo Verde,Côte d'Ivoire,Ghana,Guinea-Bissau,Liberia,Mauritania,Niger,Nigeria,Senegal,Sierra Leone,Togo,Other African countries (aggregate changing according to the context),Canada,United States,Aruba (NL),Bahamas,Barbados,British Virgin Islands (UK),Cuba,Curaçao,Dominican Republic,Jamaica,Trinidad and Tobago,Belize,Costa Rica,Guatemala,Honduras,Mexico,Panama,Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Peru,Uruguay,Venezuela,Other American countries (aggregate changing according to the context),Kazakhstan,Kyrgyzstan,Tajikistan,Turkmenistan,Uzbekistan,China including Hong Kong,Hong Kong,Japan,Mongolia,North Korea,South Korea,Taiwan,Bangladesh,India,Iran,Nepal,Pakistan,Sri Lanka,Brunei Darussalam,Cambodia,Indonesia,Laos,Malaysia,Myanmar/Burma,Philippines,Singapore,Thailand,Timor-Leste,Vietnam,Armenia,Azerbaijan,Bahrain,Georgia,Iraq,Israel,Jordan,Kuwait,Lebanon,Oman,Qatar,Saudi Arabia,Syria,United Arab Emirates,Yemen,Other Near and Middle East Asian countries,Other Asian countries (aggregate changing according to the context),Australia,New Zealand,New Caledonia (FR),Papua New Guinea,Marshall Islands,Total,Not specified
Croatia,58.64,116.22,8.60,0.00,7.70,0.00,0.00,212.00,38.40,1.60,0.00,622.25,0.00,0.00,2.30,0.00,275.00,0.00,1.50,30.50,4.20,0.00,4.70,507.89,70.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,60.00,0.60,0.00,0.00,2.40,0.00,0.00,0.00,393.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.10,0.00,0.00,0.00,0.00,0.00,79.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.90,0.00,0.00,0.00,0.00,0.00,137.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1663.20,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,9.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4441.46,0.00
Italy,215.18,186.18,0.00,0.00,32.28,0.00,0.00,623.30,971.17,776.21,102.88,0.00,0.00,0.00,0.00,0.00,11.70,36.39,231.56,339.16,3.35,131.51,71.25,174.99,0.00,0.00,1.16,0.00,0.00,1394.55,812.22,952.73,0.00,0.00,60.98,0.02,404.51,0.00,0.00,0.00,0.00,0.00,0.00,8184.26,87.12,0.00,9.42,557.55,659.69,0.00,0.00,82.69,39.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2035.85,2575.36,3855.68,0.00,0.00,0.00,368.93,0.00,0.00,0.00,0.00,0.00,121.24,0.00,0.00,0.00,0.00,2759.62,0.00,0.00,0.00,0.34,833.45,2684.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,256.66,0.00,2.10,0.00,0.00,0.00,724.15,0.00,3477.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.65,0.00,0.00,0.00,532.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73.11,0.00,0.00,0.00,0.00,10010.99,0.00,0.00,8718.61,144.30,0.00,0.00,0.00,0.00,101.45,8245.18,0.00,505.03,0.00,218.39,1.89,0.00,0.00,0.00,0.00,0.00,65419.02,3.85
Cyprus,347.44,0.04,0.00,0.00,0.31,0.00,0.00,747.05,87.22,66.16,1.94,294.75,0.00,0.00,0.19,0.00,0.00,0.01,60.88,0.00,0.26,0.04,0.03,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.01,0.32,0.00,0.00,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.22,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,621.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2264.78,0.00
Latvia,0.80,0.44,0.99,0.44,2.97,23.55,0.02,0.24,0.07,0.25,0.00,0.52,0.00,0.00,966.80,0.00,1.21,0.00,1.15,0.04,9.76,0.00,0.00,0.03,0.10,398.37,0.22,0.00,0.00,0.01,93.45,0.19,0.00,0.00,0.00,0.00,0.00,0.00,72.50,0.00,0.00,0.00,0.00,401.67,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,2.13,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1978.42,0.00
Lithuania,6.30,0.00,0.10,0.00,5.80,4.60,0.00,0.00,0.20,1.50,0.00,0.20,0.00,67.60,0.00,0.10,0.00,0.00,15.00,0.30,122.80,0.00,0.00,0.00,0.00,295.90,1.90,0.00,0.00,0.00,0.00,79.40,0.00,0.00,0.00,0.00,0.00,0.00,118.80,0.00,0.00,0.00,0.00,6155.40,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1257.70,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,810.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8945.10,0.00
Luxembourg,1583.61,0.00,0.00,0.00,471.78,0.00,0.00,0.00,0.00,291.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2518.37,70.60
Hungary,21.00,29.00,162.00,0.00,139.00,0.00,0.00,12.00,0.00,13.00,625.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,29.00,875.00,222.00,0.00,260.00,273.00,762.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4293.00,29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1243.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,592.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9615.00,0.00
Malta,2.63,0.00,0.00,0.00,0.20,0.00,23.58,60.99,328.74,195.63,101.66,423.71,0.08,0.00,0.00,0.00,0.00,0.00,128.37,0.00,0.00,34.08,9.96,0.04,0.00,0.00,41.76,0.00,0.00,11.50,0.00,187.72,0.00,0.00,0.00,0.00,196.54,0.00,0.00,0.00,7.46,0.00,0.00,227.32,6.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,406.02,68.75,0.00,0.00,0.00,0.00,20.87,0.00,0.00,0.00,0.00,25.68,8.54,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.65,0.00,0.00,22.44,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,7.47,0.00,0.00,0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.07,0.00,0.00,0.00,0.00,0.00,0.00,13.88,0.00,180.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2775.95,0.00
Netherlands,16589.02,46.58,67.50,1587.47,5806.64,423.51,310.98,57.29,2435.90,2088.92,4.54,1518.39,1.04,77.70,740.82,0.41,19.99,6.76,0.00,37.56,1337.40,312.58,0.00,0.01,6.10,1872.87,2082.29,14.58,0.00,8243.36,38.32,15649.94,0.00,0.00,15.81,0.25,654.81,0.00,187.97,0.00,101.32,0.00,0.00,27241.62,0.02,0.00,0.00,911.52,1023.88,242.86,56.71,79.12,842.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2951.99,104.26,399.34,19.15,0.00,0.00,120.90,0.00,7.47,0.00,5.48,0.00,319.73,0.00,0.00,0.00,0.00,4215.58,53.34,0.00,1.39,29.65,342.21,12168.52,0.00,52.90,0.00,0.00,428.28,0.00,0.00,0.00,101.32,0.00,0.00,0.00,0.00,68.28,0.00,503.18,0.00,1358.18,0.00,227.11,0.00,0.00,0.00,11.94,0.03,0.00,0.00,0.00,0.00,0.00,332.03,0.00,21.26,0.00,0.00,800.34,0.84,0.00,1197.49,100.46,0.00,0.00,0.00,0.00,0.00,207.33,0.00,345.03,0.00,0.00,637.10,2.12,0.00,0.00,0.00,16.75,118.17,55.07,2137.44,90.54,0.00,1114.00,0.00,126.07,601.66,4050.36,0.00,1128.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,130025.55,716.22
Austria,36.79,0.00,100.95,0.00,3648.69,0.00,0.00,0.00,7.02,4.69,55.75,777.18,0.00,0.00,0.00,0.00,399.01,0.00,2.29,0.00,8.81,0.00,46.65,377.50,640.65,0.00,1.08,0.00,0.00,0.00,42.15,1.25,0.00,79.07,0.00,2.20,0.00,0.00,0.00,19.75,0.00,0.00,0.00,804.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,682.48,0.00,321.65,0.00,0.00,0.00,14.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,349.97,0.00,0.00,0.00,0.00,14.86,439.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,124.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2807.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,350.91,0.00,0.00,1119.18,0.00,0.00,0.00,0.00,0.00,0.00,411.84,0.00,0.00,49.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13759.08,13.04
Poland,69.45,0.00,225.70,8.47,1355.63,0.20,0.24,0.06,5.23,38.30,0.06,19.00,0.00,8.89,428.73,0.00,83.98,0.00,145.73,1.71,0.00,0.39,2.13,0.05,394.22,109.81,358.21,0.00,0.00,572.68,2.66,167.84,0.00,0.00,0.00,0.00,0.32,0.00,318.70,0.00,0.00,0.00,0.00,22223.05,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1416.51,0.00,0.00,0.00,0.00,1.45,31.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,2.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,696.26,0.00,0.00,0.00,0.65,37.97,0.00,0.20,0.00,0.00,0.15,0.00,0.00,2.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.00,0.01,0.00,0.00,0.00,0.00,0.00,4171.99,0.00,0.04,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,32905.74,0.44
Portugal,128.90,0.00,0.00,1.97,2.19,0.00,0.00,0.00,2064.30,35.52,0.00,0.41,0.00,9.98,0.00,0.00,0.00,0.00,130.74,0.00,9.03,0.00,0.00,0.00,0.00,0.00,210.11,0.00,0.00,864.22,0.00,51.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,571.16,0.00,0.00,0.00,1098.87,0.00,368.29,0.00,812.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,475.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1856.14,0.00,0.00,0.00,0.00,0.00,1046.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2816.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,756.18,0.00,0.00,0.00,22.05,0.00,0.00,0.00,0.00,0.00,1062.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14395.30,0.00
Romania,25.02,209.70,0.21,0.03,65.64,0.62,0.00,152.41,2.93,41.83,2.54,99.80,0.02,0.71,0.71,0.00,836.48,0.00,64.80,60.73,134.83,0.28,0.00,0.29,32.45,0.00,1.46,0.00,0.00,0.07,0.01,17.31,0.00,0.00,0.25,119.25,140.74,0.00,10.12,0.07,0.00,0.03,4.42,3558.69,1.41,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.89,1.60,16.88,0.00,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,276.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3697.82,0.00,0.00,239.98,0.00,0.57,0.00,0.08,0.00,0.01,0.00,0.00,0.00,27.61,4.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,435.37,0.00,0.16,491.52,32.99,0.00,0.00,0.00,0.00,5.48,6.50,0.00,6.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10859.06,0.00
Slovenia,22.58,55.30,11.08,0.00,33.67,0.00,0.00,636.42,32.74,0.60,55.18,1236.66,0.00,0.00,0.93,0.00,153.03,0.64,97.38,568.84,11.69,0.40,19.97,0.00,1.19,0.68,0.00,0.00,0.00,0.00,0.09,0.02,0.00,0.00,0.00,0.25,377.68,0.00,1.31,0.00,0.00,0.00,0.00,520.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,124.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.37,25.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.08,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4028.87,0.00
Slovakia,3.00,1.00,557.00,0.00,94.00,0.00,0.00,0.00,0.00,3.00,1.00,2.00,1.00,0.00,0.00,0.00,287.00,0.00,3.00,396.00,58.00,0.00,0.00,12.00,0.00,22.00,1.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,1.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,5712.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7287.00,83.00
Finland,203.00,0.00,0.00,310.00,103.00,3.00,0.00,0.00,0.00,17.00,0.00,4.00,0.00,0.00,8.00,0.00,0.00,0.00,414.00,0.00,29.00,0.00,0.00,0.00,0.00,0.00,1746.00,0.00,0.00,1829.00,0.00,325.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11243.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,390.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.00,0.00,0.00,0.00,0.00,0.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16819.00,0.00
Sweden,160.41,0.00,0.00,1585.10,387.31,45.35,0.00,0.00,132.03,21.00,0.00,0.01,0.00,32.66,11.99,0.00,0.00,0.00,759.63,0.00,129.57,0.00,0.00,0.00,0.00,666.50,0.00,0.00,0.00,13732.24,5.15,1562.63,0.00,0.00,0.00,0.00,27.13,0.00,0.00,0.00,0.00,0.00,0.00,3474.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1351.01,0.00,0.00,0.00,0.00,0.00,2584.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,71.44,0.00,47.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.69,0.00,0.00,15.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27010.20,79.52
Iceland,3.07,0.00,0.00,1.58,5.29,0.01,0.00,0.00,0.01,0.22,0.00,0.03,0.00,0.00,0.06,0.00,0.00,0.00,3.47,0.00,0.32,0.00,0.00,0.00,0.00,0.09,23.29,0.00,0.00,490.75,0.02,2.97,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,22.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.67,0.00,0.00,0.00,0.00,0.00,28.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,624.51,13.30
Liechtenstein,4.00,0.00,0.00,0.00,14.00,0.00,0.00,0.00,0.00,4.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00
