"REF_DATE","GEO","DGUID","Vehicle type","Origin of manufacture","Sales","Seasonal adjustment","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-11","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169913","1.1.1.2.1","6152460","","","","0"
"2020-12","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169913","1.1.1.2.1","5486010","","","","0"
"2021-01","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169913","1.1.1.2.1","3844200","","","","0"
"2021-02","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169913","1.1.1.2.1","4838617","","","","0"
"2021-03","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169913","1.1.1.2.1","7595250","","","","0"
"2021-04","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169913","1.1.1.2.1","7153964","","","","0"
"2021-05","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169913","1.1.1.2.1","6605703","","","","0"
"2021-06","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169913","1.1.1.2.1","7926469","","","","0"
"2021-07","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169913","1.1.1.2.1","7268011","","","","0"
"2021-08","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169913","1.1.1.2.1","6814690","","","","0"
"2021-09","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169913","1.1.1.2.1","6716121","","","","0"
"2021-10","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169913","1.1.1.2.1","6295342","","","","0"
"2021-11","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169913","1.1.1.2.1","6085260","","","","0"
"2021-12","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169913","1.1.1.2.1","5647942","","","","0"
"2022-01","Canada","2016A000011124","Total, new motor vehicles","Total, country of manufacture","Dollars","Unadjusted","Dollars","81","thousands","3","v42169913","1.1.1.2.1","4568398","","","","0"


