#,admin4Pcode,admin4Name_eng,admin4Name_ukr,admin4ClassType,admin4PoliticalType,admin3Pcode,admin3Name_eng,admin3Name_ukr,admin3Name_rus,admin3PoliticalType,admin2Pcode,admin2Name_eng,admin2Name_ukr,admin2Name_rus,admin2ClassType,admin2PoliticalType,admin1Pcode,admin1Name_eng,admin1Name_ukr,admin1Name_rus,admin1ClassType,Population,Population_source,X Longitude,Y Latitude,IDP location Cluster,IDP estimation
875,UA2102003001,Berehove,Берегове,міста,"центр району, місто обласного значення, центр міської ОТГ",UA2102003,Berehivska,Берегівська,Береговская,міська ОТГ,UA2102,Berehivskyi,Берегівський,Береговский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,24458,Census 2001,22.63802919,48.20495837,1,24458
885,UA2102005002,Berehuifalu,Берегуйфалу,сільські населені пункти (СНП),,UA2102005,Velykoberezka,Великоберезька,Великобережская,сільська ОТГ,UA2102,Berehivskyi,Берегівський,Береговский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,1925,Census 2001,22.79894187,48.27130918,1,1925
904,UA4612013005,Berezhne,Бережне,сільські населені пункти (СНП),,UA4612013,Chervonohradska,Червоноградська,Червоноградская,міська ОТГ,UA4612,Chervonohradskyi,Червоноградський,Червоноградский,район,,UA46,Lvivska,Львівська,Львовская,область,60,Census 2001,24.17801154,50.43581346,1,60
918,UA0706005003,Berezhtsi,Бережці,сільські населені пункти (СНП),,UA0706005,Vyshnivska,Вишнівська,Вишневская,сільська ОТГ,UA0706,Kovelskyi,Ковельський,Ковельский,район,,UA07,Volynska,Волинська,Волынская,область,711,Census 2001,23.87378063,51.1584115,1,711
1096,UA0508013002,Bernashivka,Бернашівка,сільські населені пункти (СНП),,UA0508013,Yaryshivska,Яришівська,Ярышевская,сільська ОТГ,UA0508,Mohyliv-Podilskyi,Могилів-Подільський,Могилев-Подольский,район,,UA05,Vinnytska,Вінницька,Винницкая,область,209,Census 2001,27.48177678,48.57715561,1,209
1207,UA7306023003,Bila Krynytsia,Біла Криниця,сільські населені пункти (СНП),,UA7306023,Kamianetska,Кам'янецька,Каменская,сільська ОТГ,UA7306,Cnernivetskyi,Чернівецький,Черновицкий,район,,UA73,Chernivetska,Чернівецька,Черновицкая,область,169,Census 2001,25.88540815,47.97664005,1,169
1210,UA2108011002,Bila Tserkva,Біла Церква,сільські населені пункти (СНП),,UA2108011,Solotvynska,Солотвинська,Солотвинская,селищна ОТГ,UA2108,Tiachivskyi,Тячівський,Тячевский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,3024,Census 2001,23.93315157,47.95251611,1,3024
1404,UA5110003001,Biliaivka,Біляївка,міста,"місто обласного значення, центр міської ОТГ",UA5110003,Biliaivska,Біляївська,Беляевская,міська ОТГ,UA5110,Odeskyi,Одеський,Одесский,район,,UA51,Odeska,Одеська,Одесская,область,12052,Census 2001,30.21779864,46.47860235,1,12052
1274,UA7304019004,Bilivtsi,Білівці,сільські населені пункти (СНП),,UA7304019,Khotynska,Хотинська,Хотинская,міська ОТГ,UA7304,Dnistrovskyi,Дністровський,Днестровский,район,,UA73,Chernivetska,Чернівецька,Черновицкая,область,1114,Census 2001,26.48193975,48.34985101,1,1114
1369,UA7304017002,Bilousivka,Білоусівка,сільські населені пункти (СНП),,UA7304017,Sokyrianska,Сокирянська,Сокирянская,міська ОТГ,UA7304,Dnistrovskyi,Дністровський,Днестровский,район,,UA73,Chernivetska,Чернівецька,Черновицкая,область,3057,Census 2001,27.34093892,48.53548004,1,3057
1267,UA4608015004,Bilychi,Біличі,сільські населені пункти (СНП),,UA4608015,Starosambirska,Старосамбірська,Старосамборская,міська ОТГ,UA4608,Sambirskyi,Самбірський,Самборский,район,,UA46,Lvivska,Львівська,Львовская,область,1409,Census 2001,22.89778685,49.44685063,1,1409
1257,UA0702015002,Bilyn,Білин,сільські населені пункти (СНП),,UA0702015,Ovadnivska,Оваднівська,Овадновская,сільська ОТГ,UA0702,Volodymyr-Volynskyi,Володимир-Волинський,Владимир-Волынский,район,,UA07,Volynska,Волинська,Волынская,область,432,Census 2001,24.26196343,50.94024066,1,432
1463,UA0702013002,Blahodatne,Благодатне,селища міського типу (СМТ),,UA0702013,Novovolynska,Нововолинська,Нововолынская,міська ОТГ,UA0702,Volodymyr-Volynskyi,Володимир-Волинський,Владимир-Волынский,район,,UA07,Volynska,Волинська,Волынская,область,9093,Census 2001,24.24816957,50.66602805,1,9093
1963,UA4612011006,Boianychi,Бояничі,сільські населені пункти (СНП),,UA4612011,Sokalska,Сокальська,Сокальская,міська ОТГ,UA4612,Chervonohradskyi,Червоноградський,Червоноградский,район,,UA46,Lvivska,Львівська,Львовская,область,433,Census 2001,24.17090788,50.49092724,1,433
1703,UA4614009004,Boievychi,Боєвичі,сільські населені пункти (СНП),,UA4614009,Shehynivska,Шегинівська,Шегиновская,сільська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,194,Census 2001,22.98705602,49.72544431,1,194
