#,admin4Pcode,admin4Name_eng,admin4Name_ukr,admin4ClassType,admin4PoliticalType,admin3Pcode,admin3Name_eng,admin3Name_ukr,admin3Name_rus,admin3PoliticalType,admin2Pcode,admin2Name_eng,admin2Name_ukr,admin2Name_rus,admin2ClassType,admin2PoliticalType,admin1Pcode,admin1Name_eng,admin1Name_ukr,admin1Name_rus,admin1ClassType,Population,Population_source,X Longitude,Y Latitude,IDP location Cluster,IDP estimation
27958,UA2110027008,Chervone,Червоне,сільські населені пункти (СНП),,UA2110027,Chopska,Чопська,Чопская,міська ОТГ,UA2110,Uzhhorodskyi,Ужгородський,Ужгородский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,869,Census 2001,22.26405274,48.4233262,1,869
28069,UA4612013001,Chervonohrad,Червоноград,міста,"місто обласного значення, центр міської ОТГ",UA4612013,Chervonohradska,Червоноградська,Червоноградская,міська ОТГ,UA4612,Chervonohradskyi,Червоноградський,Червоноградский,район,,UA46,Lvivska,Львівська,Львовская,область,68000,Census 2001,24.23610549,50.38986536,2,17000
28264,UA2102003015,Chetfalva,Четфалва,сільські населені пункти (СНП),,UA2102003,Berehivska,Берегівська,Береговская,міська ОТГ,UA2102,Berehivskyi,Берегівський,Береговский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,755,Census 2001,22.79286915,48.12704592,1,755
28355,UA2102003017,Choma,Чома,сільські населені пункти (СНП),,UA2102003,Berehivska,Берегівська,Береговская,міська ОТГ,UA2102,Berehivskyi,Берегівський,Береговский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,916,Census 2001,22.63222853,48.1350845,1,916
28356,UA2110005005,Chomonyn,Чомонин,сільські населені пункти (СНП),,UA2110005,Velykodobronska,Великодобронська,Великодобронская,сільська ОТГ,UA2110,Uzhhorodskyi,Ужгородський,Ужгородский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,2265,Census 2001,22.45786108,48.40165988,1,2265
28358,UA2110027001,Chop,Чоп,міста,"місто обласного значення, центр міської ОТГ",UA2110027,Chopska,Чопська,Чопская,міська ОТГ,UA2110,Uzhhorodskyi,Ужгородський,Ужгородский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,8994,Census 2001,22.20790353,48.43373532,1,8994
28389,UA4606039045,Chornii,Чорнії,сільські населені пункти (СНП),,UA4606039,Rava-Ruska,Рава-Руська,Рава-Русская,міська ОТГ,UA4606,Lvivskyi,Львівський,Львовский,район,,UA46,Lvivska,Львівська,Львовская,область,36,Census 2001,23.50384481,50.21157734,1,36
28402,UA2110007009,Chornoholova,Чорноголова,сільські населені пункти (СНП),,UA2110007,Dubrynytska-Malobereznianska,Дубриницько-Малоберезнянс,Дубриничско-Малоберезнянс,сільська ОТГ,UA2110,Uzhhorodskyi,Ужгородський,Ужгородский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,1336,Census 2001,22.60067753,48.85245078,1,1336
28429,UA2102019016,Chornotysiv,Чорнотисів,сільські населені пункти (СНП),,UA2102019,Pyiterfolvivska,Пийтерфолвівська,Паятерфолвовский,сільська ОТГ,UA2102,Berehivskyi,Берегівський,Береговский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,2232,Census 2001,23.05124394,48.07603988,1,2232
28380,UA2102009010,Chornyi Potik,Чорний Потік,сільські населені пункти (СНП),,UA2102009,Vylotska,Вилоцька,Вилокская,селищна ОТГ,UA2102,Berehivskyi,Берегівський,Береговский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,1074,Census 2001,22.90413435,48.18287806,1,1074
28385,UA0702021026,Chornykiv,Чорників,сільські населені пункти (СНП),,UA0702021,Ustyluzka,Устилузька,Устилугская,міська ОТГ,UA0702,Volodymyr-Volynskyi,Володимир-Волинський,Владимир-Волынский,район,,UA07,Volynska,Волинська,Волынская,область,203,Census 2001,24.02575539,50.82121127,1,203
28299,UA2102003016,Chykosh-Horonda,Чикош-Горонда,сільські населені пункти (СНП),,UA2102003,Berehivska,Берегівська,Береговская,міська ОТГ,UA2102,Berehivskyi,Берегівський,Береговский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,80,Census 2001,22.67863644,48.2806876,1,80
28324,UA4614003062,Chyshky,Чишки,сільські населені пункти (СНП),,UA4614003,Mostyska,Мостиська,Мостисская,міська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,537,Census 2001,23.10722959,49.7672241,1,537
28295,UA4608005037,Chyzhky,Чижки,сільські населені пункти (СНП),,UA4608005,Dobromylska,Добромильська,Добромильская,міська ОТГ,UA4608,Sambirskyi,Самбірський,Самборский,район,,UA46,Lvivska,Львівська,Львовская,область,513,Census 2001,22.96389157,49.62481823,1,513
6460,UA2102001007,Danylivka,Данилівка,сільські населені пункти (СНП),,UA2102001,Bativska,Батівська,Батьевская,селищна ОТГ,UA2102,Berehivskyi,Берегівський,Береговский,район,,UA21,Zakarpatska,Закарпатська,Закарпатская,область,493,Census 2001,22.35739591,48.34082694,1,493
6500,UA0702021004,Darnytske,Дарницьке,сільські населені пункти (СНП),,UA0702021,Ustyluzka,Устилузька,Устилугская,міська ОТГ,UA0702,Volodymyr-Volynskyi,Володимир-Волинський,Владимир-Волынский,район,,UA07,Volynska,Волинська,Волынская,область,79,Census 2001,24.1570692,50.82066174,1,79
6509,UA4614011022,Datsky,Дацьки,сільські населені пункти (СНП),,UA4614011,Yavorivska,Яворівська,Яворовская,міська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,109,Census 2001,23.36548341,50.02315577,1,109
6565,UA4614011023,Debri,Дебрі,сільські населені пункти (СНП),,UA4614011,Yavorivska,Яворівська,Яворовская,міська ОТГ,UA4614,Yavorivskyi,Яворівський,Яворовский,район,,UA46,Lvivska,Львівська,Львовская,область,331,Census 2001,23.42247324,50.02543811,1,331
